,datetime,tweet_Id,text,Username
105,2022-03-24 21:03:02+00:00,1507100702098829319,"5 Distinctive Logos designed for different businesses. Send me A DM.  #NugaUnilag2022 ""Peter Obi"" #HorribleBosses #branding https://t.co/KDj5WU6puG",mooyosquare
106,2022-03-24 21:00:06+00:00,1507099965440598021,On my CV its states that I don't work under pressure 😂.... The day my boss think he is smart I always have a photocopy of the CV I showed it to him 😂 #horribleBosses,WealthWhite
107,2022-03-24 20:55:04+00:00,1507098695958994948,@Vader_Wildcard My open letter to our new Garaji Sheaman. Samo eyan yi. Ekun oko wosi. Samo no be #HorribleBosses https://t.co/Lnzo7wpuS0,kiss_gomez007
108,2022-03-24 20:32:32+00:00,1507093027415859208,@NwaBabyOne #HorribleBosses #ToxicWorkplaces,Jesubanjo
109,2022-03-24 20:20:59+00:00,1507090119588814849,"I realised today how many opportunities I’ve missed and L’s I’ve taken by not listening to my intuition. 
No cap, your intuition is life’s navigator, don’t ignore it #life #horriblebosses #intuition",my31project
110,2022-03-24 20:18:43+00:00,1507089548945375241,"This #horriblebosses episode has been heartbreaking and it's a call for all leaders and frankly all employees to treat people with respect and be introspective cuz you can easily be a horrible boss/colleague but while we are at it, can we have a #horribleemployees episode too.",suzyswizy
111,2022-03-24 20:11:21+00:00,1507087697122402320,#Horriblebosses: Gideon Okeke Calls Out Filmmaker Frank Rajah For Allegedly Owing Him Half A Million Naira https://t.co/aOSjYym7BE,Hotvibesmedia
112,2022-03-24 19:23:53+00:00,1507075750876393473,A good place to start this journey is https://t.co/yZLYbLHH5C so we can end the scourge of #HorribleBosses in our world.,abiolachamp
113,2022-03-24 19:21:43+00:00,1507075204522074113,"We can all embark on a journey of self improvement, growing out of repressed emotions and a rebirth of our true self so we can be of greater value to everyone we relate with.

#HorribleBosses",abiolachamp
114,2022-03-24 19:21:43+00:00,1507075202592694272,"BTW, it is not only Uncles &amp; Aunties that bully oooo. Some young ones bullying too. Set awon Aburo k'aburo. Self Awareness and commitment to improvement is only for the strong. #HorribleBosses",abiolachamp
115,2022-03-24 19:21:42+00:00,1507075200504012815,"The other time, loads of bullies came out to condemned bullying with their words because it was trending but they've all since gBone back to bullying - awon Aunty &amp; Uncle Agbaya. #HorribleBosses",abiolachamp
116,2022-03-24 19:21:41+00:00,1507075197844742144,"Suddenly, everyone wants to remove the speck out of the eye of other Human Beings but fail to notice the beam in their own eye, not to talk of attempting to remove theirs.

#HorribleBosses",abiolachamp
117,2022-03-24 19:21:41+00:00,1507075195248562180,"When they can easily predict your reaction, Human Beings will press your mumu button, gaslight you and blame you for reacting or for having enough confidence. They will ignite fire but cry for help when it is burning. #HorribleBosses",abiolachamp
118,2022-03-24 19:21:40+00:00,1507075192924815361,"Human beings will play any card - economic, status, gender, age, etc - at their disposal to achieve their selfish agenda but claim victimization when the card isn't winning as expected.

#HorribleBosses",abiolachamp
119,2022-03-24 19:21:39+00:00,1507075185941401600,"Some of our Heroes in Corporate, Politics &amp; Ministry have Anger Issues but they hide under ""results"", ""social status"", ""seniority"" &amp; the silent one, ""boneface"".

We all need Emotional Intelligence to help us better manage the frustrations other humans serve us.

#HorribleBosses",abiolachamp
120,2022-03-24 19:16:02+00:00,1507073772540596224,"What’s the purpose of marching at Nysc camp please? Tori koyemi rara 

#nyscpalava#sungba#horriblebosses#",akee_rah
121,2022-03-24 19:09:39+00:00,1507072167707652100,"Nigeria is literally built on an oppression system, so seeing the comments on the #HorribleBosses hashtag isn’t even surprising.",IfedayoBeti
122,2022-03-24 18:55:32+00:00,1507068613236305924,"#horriblebosses And #toxicworkplace. My Personal Experience In Nigeria. Please Read

https://t.co/QTV7C4DZxQ",Gist_am
123,2022-03-24 18:50:19+00:00,1507067302814044174,I’m surprised Aunty/Dr Kemi @KemiOlunloyo has not opened a space to discuss the #horriblebosses phenomenon that has been trending for 2/3 days now … would so much love her take … always so insightful 👌,bejide__
124,2022-03-24 18:38:01+00:00,1507064208713678850,This one is talking to #horriblebosses and the likes. https://t.co/skZE6G8PgH,MaxUanikhehi
125,2022-03-24 18:19:53+00:00,1507059642735767558,"New single dropping tomorrow will be available on audio mark and all other platform y'all should stream and refer friends and family ❤️🔥🙏   Mr macaroni

#techagbero #HorribleBosses #GRAMMYs https://t.co/4fsmaYAIZe",ibile_sodmark
126,2022-03-24 18:11:51+00:00,1507057621731201034,The joy of going from Noisy power supply to Noiseless power supply! Solar energy is the future and we got you covered anytime anyday @RawNergy solar solutions contact us at https://t.co/WjN5QVy4Kl or call 08063120496! #Solar #AshewoSpace #Oilprices #HorribleBosses #Kante #NEPA https://t.co/QiI04HBiq2,RawNergy
127,2022-03-24 18:03:25+00:00,1507055498180313091,"No matter what your day brings, keep your style game strong.

Available in different sizes 

Delivery available worldwide

Wizkid |  Egusi |  Okwute  |  ""Pastor B"" |  ""The Widow"" | Atiku  | ""TG Omori"" |  Victony | Ghana  |  #HorribleBosses  |  #AbujaTwitterCommunity  |  Asake  | https://t.co/9WauUyGCAc",mecgoc
128,2022-03-24 17:56:17+00:00,1507053705388081157,"@Wizarab10 While you guys are at it, kindly note that majority of these uber users whom you're ""torchlighting""  are those who claim to have horrible bosses #HorribleBosses",metonome
129,2022-03-24 17:54:55+00:00,1507053358850490374,@WaleOlu3 @Ebuka_ng What about one Canaan Solicitors that's in the Obanikoro/Ilupeju area? I've heard too many troubling stories about this Law office #HorribleBosses,IntentionsSolid
130,2022-03-24 17:53:31+00:00,1507053006654689282,"There's been a trend about #Horriblebosses in the tech space and the revelations are quite shocking. So I thought to share my 2 cents on this topic because if other bosses are not careful, the calling out may soon snowball into more sector #HorribleBosses #Thread",iambankole
131,2022-03-24 17:47:04+00:00,1507051384235044867,"Do you work in a toxic environment?
Have you recently left a toxic work environment?
Most times as humans we store up those toxic energies and it could lead to esteem issues, lower productivity, and our subconscious look for ways to channel this negative energy. 
#HorribleBosses https://t.co/sBAklaW1Z9",cicdngo
132,2022-03-24 17:44:29+00:00,1507050736366108673,"Ebun’s story is one in a hundred. Social media is filled with stories of employment contract abuse, and personal attacks at workplaces.

We listed five things to look out for before signing that appointment letter. 
#HorribleBosses #MeToo #Growth
https://t.co/vlSERmpjD3",technextdotng
133,2022-03-24 17:30:43+00:00,1507047269517991936,Omo that space #HorribleBosses was it just for Nigerian bosses,EatTheseCHICHIs
134,2022-03-24 17:28:58+00:00,1507046831301312512,"Matt’s Recommendation : #HorribleBosses (#JasonBateman, #CharlieDay, #JasonSudeikis, #JenniferAniston, #ColinFarrell, #KevinSpacey, #JamieFoxx) https://t.co/rIlGfAQyAe",Matt_Bandowski
